Point ID,Idp,Mk,Points:0,Points:1,Points:2,Points:Magnitude,Rhop,Type,Vel:0,Vel:1,Vel:2,Vel:Magnitude
151,7997,1,0.03,0.23,0.05,0.237276,1002.31,3,0,0,0,0
152,7998,1,0.03,0.23,0.07,0.242281,1002.13,3,0,0,0,0
153,7999,1,0.03,0.23,0.09,0.248797,1001.95,3,0,0,0,0
154,8000,1,0.03,0.23,0.11,0.25671,1001.78,3,0,0,0,0
155,8001,1,0.03,0.23,0.13,0.265895,1001.6,3,0,0,0,0
156,8002,1,0.03,0.23,0.15,0.276225,1001.42,3,0,0,0,0
157,8003,1,0.03,0.23,0.17,0.287576,1001.25,3,0,0,0,0
158,8004,1,0.03,0.23,0.19,0.299833,1001.07,3,0,0,0,0
159,8005,1,0.03,0.23,0.21,0.31289,1000.89,3,0,0,0,0
160,8006,1,0.03,0.23,0.23,0.32665,1000.71,3,0,0,0,0
161,8007,1,0.03,0.23,0.25,0.341028,1000.53,3,0,0,0,0
162,8008,1,0.03,0.23,0.27,0.355949,1000.36,3,0,0,0,0
163,8009,1,0.03,0.23,0.29,0.371349,1000.18,3,0,0,0,0
164,8010,1,0.03,0.23,0.31,0.387169,1000,3,0,0,0,0
165,8011,1,0.03,0.25,0.03,0.253574,1002.48,3,0,0,0,0
166,8012,1,0.03,0.25,0.05,0.25671,1002.31,3,0,0,0,0
167,8013,1,0.03,0.25,0.07,0.261343,1002.13,3,0,0,0,0
168,8014,1,0.03,0.25,0.09,0.267395,1001.95,3,0,0,0,0
169,8015,1,0.03,0.25,0.11,0.274773,1001.78,3,0,0,0,0
170,8016,1,0.03,0.25,0.13,0.283373,1001.6,3,0,0,0,0
171,8017,1,0.03,0.25,0.15,0.293087,1001.42,3,0,0,0,0
172,8018,1,0.03,0.25,0.17,0.303809,1001.25,3,0,0,0,0
173,8019,1,0.03,0.25,0.19,0.315436,1001.07,3,0,0,0,0
174,8020,1,0.03,0.25,0.21,0.327872,1000.89,3,0,0,0,0
175,8021,1,0.03,0.25,0.23,0.341028,1000.71,3,0,0,0,0
176,8022,1,0.03,0.25,0.25,0.354824,1000.53,3,0,0,0,0
177,8023,1,0.03,0.25,0.27,0.369188,1000.36,3,0,0,0,0
178,8024,1,0.03,0.25,0.29,0.384057,1000.18,3,0,0,0,0
179,8025,1,0.03,0.25,0.31,0.399375,1000,3,0,0,0,0
180,8026,1,0.03,0.27,0.03,0.273313,1002.48,3,0,0,0,0
181,8027,1,0.03,0.27,0.05,0.276225,1002.31,3,0,0,0,0
182,8028,1,0.03,0.27,0.07,0.280535,1002.13,3,0,0,0,0
183,8029,1,0.03,0.27,0.09,0.286182,1001.95,3,0,0,0,0
184,8030,1,0.03,0.27,0.11,0.293087,1001.78,3,0,0,0,0
185,8031,1,0.03,0.27,0.13,0.301164,1001.6,3,0,0,0,0
