Point ID,Idp,Mk,Points:0,Points:1,Points:2,Points:Magnitude,Rhop,Type,Vel:0,Vel:1,Vel:2,Vel:Magnitude
155,155,10,0.001,0.0265,0.0945,0.0981504,1000,0,0,0,0,0
156,156,10,0.001,0.0265,0.103,0.106359,1000,0,0,0,0,0
157,157,10,0.001,0.0265,0.1115,0.11461,1000,0,0,0,0,0
158,158,10,0.001,0.0265,0.12,0.122895,1000,0,0,0,0,0
159,159,10,0.001,0.0265,0.1285,0.131208,1000,0,0,0,0,0
160,160,10,0.001,0.0265,0.137,0.139543,1000,0,0,0,0,0
161,161,10,0.001,0.0265,0.1455,0.147897,1000,0,0,0,0,0
162,162,10,0.001,0.0265,0.154,0.156267,1000,0,0,0,0,0
163,163,10,0.001,0.0265,0.1625,0.16465,1000,0,0,0,0,0
164,164,10,0.001,0.0265,0.171,0.173044,1000,0,0,0,0,0
165,165,10,0.001,0.0265,0.1795,0.181448,1000,0,0,0,0,0
166,166,10,0.001,0.0265,0.188,0.189861,1000,0,0,0,0,0
167,167,10,0.001,0.0265,0.1965,0.198281,1000,0,0,0,0,0
168,168,10,0.001,0.0265,0.205,0.206708,1000,0,0,0,0,0
169,169,10,0.001,0.0265,0.2135,0.215141,1000,0,0,0,0,0
170,170,10,0.001,0.0265,0.222,0.223578,1000,0,0,0,0,0
171,171,10,0.001,0.0265,0.2305,0.23202,1000,0,0,0,0,0
172,172,10,0.001,0.0265,0.239,0.240467,1000,0,0,0,0,0
173,173,10,0.001,0.0265,0.2475,0.248917,1000,0,0,0,0,0
174,174,10,0.001,0.0265,0.256,0.25737,1000,0,0,0,0,0
175,175,10,0.001,0.0265,0.2645,0.265826,1000,0,0,0,0,0
176,176,10,0.001,0.0265,0.273,0.274285,1000,0,0,0,0,0
177,177,10,0.001,0.0265,0.2815,0.282746,1000,0,0,0,0,0
178,178,10,0.001,0.0265,0.29,0.29121,1000,0,0,0,0,0
179,179,10,0.001,0.0265,0.2985,0.299676,1000,0,0,0,0,0
180,180,10,0.001,0.0265,0.307,0.308143,1000,0,0,0,0,0
181,181,10,0.001,0.0265,0.3155,0.316613,1000,0,0,0,0,0
182,182,10,0.001,0.0265,0.324,0.325083,1000,0,0,0,0,0
183,183,10,0.001,0.0265,0.3325,0.333556,1000,0,0,0,0,0
184,184,10,0.001,0.0265,0.341,0.34203,1000,0,0,0,0,0
185,185,10,0.001,0.0265,0.3495,0.350505,1000,0,0,0,0,0
186,186,10,0.001,0.0265,0.358,0.358981,1000,0,0,0,0,0
187,187,10,0.001,0.0265,0.3665,0.367458,1000,0,0,0,0,0
188,188,10,0.001,0.0265,0.375,0.375937,1000,0,0,0,0,0
189,189,10,0.001,0.0265,0.3835,0.384416,1000,0,0,0,0,0
190,190,10,0.001,0.0265,0.392,0.392896,1000,0,0,0,0,0
191,191,10,0.001,0.0265,0.4005,0.401377,1000,0,0,0,0,0
192,192,10,0.001,0.035,0.001,0.0350286,1000,0,0,0,0,0
193,193,10,0.001,0.035,0.0095,0.0362802,1000,0,0,0,0,0
194,194,10,0.001,0.035,0.018,0.03937,1000,0,0,0,0,0
195,195,10,0.001,0.035,0.0265,0.0439118,1000,0,0,0,0,0
196,196,10,0.001,0.035,0.035,0.0495076,1000,0,0,0,0,0
197,197,10,0.001,0.035,0.0435,0.0558413,1000,0,0,0,0,0
198,198,10,0.001,0.035,0.052,0.0626897,1000,0,0,0,0,0
199,199,10,0.001,0.035,0.0605,0.0699017,1000,0,0,0,0,0
200,200,10,0.001,0.035,0.069,0.0773757,1000,0,0,0,0,0
201,201,10,0.001,0.035,0.0775,0.0850426,1000,0,0,0,0,0
202,202,10,0.001,0.035,0.086,0.0928547,1000,0,0,0,0,0
203,203,10,0.001,0.035,0.0945,0.100778,1000,0,0,0,0,0
204,204,10,0.001,0.035,0.103,0.108789,1000,0,0,0,0,0
205,205,10,0.001,0.035,0.1115,0.116869,1000,0,0,0,0,0
206,206,10,0.001,0.035,0.12,0.125004,1000,0,0,0,0,0
207,207,10,0.001,0.035,0.1285,0.133185,1000,0,0,0,0,0
208,208,10,0.001,0.035,0.137,0.141404,1000,0,0,0,0,0
209,209,10,0.001,0.035,0.1455,0.149654,1000,0,0,0,0,0
210,210,10,0.001,0.035,0.154,0.15793,1000,0,0,0,0,0
211,211,10,0.001,0.035,0.1625,0.16623,1000,0,0,0,0,0
212,212,10,0.001,0.035,0.171,0.174548,1000,0,0,0,0,0
213,213,10,0.001,0.035,0.1795,0.182883,1000,0,0,0,0,0
214,214,10,0.001,0.035,0.188,0.191233,1000,0,0,0,0,0
215,215,10,0.001,0.035,0.1965,0.199595,1000,0,0,0,0,0
216,216,10,0.001,0.035,0.205,0.207969,1000,0,0,0,0,0
217,217,10,0.001,0.035,0.2135,0.216352,1000,0,0,0,0,0
218,218,10,0.001,0.035,0.222,0.224744,1000,0,0,0,0,0
219,219,10,0.001,0.035,0.2305,0.233144,1000,0,0,0,0,0
220,220,10,0.001,0.035,0.239,0.241551,1000,0,0,0,0,0
221,221,10,0.001,0.035,0.2475,0.249965,1000,0,0,0,0,0
222,222,10,0.001,0.035,0.256,0.258383,1000,0,0,0,0,0
223,223,10,0.001,0.035,0.2645,0.266807,1000,0,0,0,0,0
224,224,10,0.001,0.035,0.273,0.275236,1000,0,0,0,0,0
225,225,10,0.001,0.035,0.2815,0.283669,1000,0,0,0,0,0
226,226,10,0.001,0.035,0.29,0.292106,1000,0,0,0,0,0
227,227,10,0.001,0.035,0.2985,0.300547,1000,0,0,0,0,0
228,228,10,0.001,0.035,0.307,0.30899,1000,0,0,0,0,0
229,229,10,0.001,0.035,0.3155,0.317437,1000,0,0,0,0,0
230,230,10,0.001,0.035,0.324,0.325886,1000,0,0,0,0,0
231,231,10,0.001,0.035,0.3325,0.334339,1000,0,0,0,0,0
232,232,10,0.001,0.035,0.341,0.342793,1000,0,0,0,0,0
233,233,10,0.001,0.035,0.3495,0.35125,1000,0,0,0,0,0
234,234,10,0.001,0.035,0.358,0.359708,1000,0,0,0,0,0
235,235,10,0.001,0.035,0.3665,0.368169,1000,0,0,0,0,0
236,236,10,0.001,0.035,0.375,0.376631,1000,0,0,0,0,0
237,237,10,0.001,0.035,0.3835,0.385095,1000,0,0,0,0,0
238,238,10,0.001,0.035,0.392,0.393561,1000,0,0,0,0,0
239,239,10,0.001,0.035,0.4005,0.402028,1000,0,0,0,0,0
240,240,10,0.001,0.0435,0.001,0.043523,1000,0,0,0,0,0
241,241,10,0.001,0.0435,0.0095,0.0445365,1000,0,0,0,0,0
242,242,10,0.001,0.0435,0.018,0.0470877,1000,0,0,0,0,0
243,243,10,0.001,0.0435,0.0265,0.050946,1000,0,0,0,0,0
244,244,10,0.001,0.0435,0.035,0.0558413,1000,0,0,0,0,0
245,245,10,0.001,0.0435,0.0435,0.0615264,1000,0,0,0,0,0
246,246,10,0.001,0.0435,0.052,0.067803,1000,0,0,0,0,0
247,247,10,0.001,0.0435,0.0605,0.0745218,1000,0,0,0,0,0
248,248,10,0.001,0.0435,0.069,0.0815736,1000,0,0,0,0,0
249,249,10,0.001,0.0435,0.0775,0.0888791,1000,0,0,0,0,0
250,250,10,0.001,0.0435,0.086,0.0963808,1000,0,0,0,0,0
251,251,10,0.001,0.0435,0.0945,0.104036,1000,0,0,0,0,0
252,252,10,0.001,0.0435,0.103,0.111813,1000,0,0,0,0,0
253,253,10,0.001,0.0435,0.1115,0.119689,1000,0,0,0,0,0
254,254,10,0.001,0.0435,0.12,0.127645,1000,0,0,0,0,0
255,255,10,0.001,0.0435,0.1285,0.135667,1000,0,0,0,0,0
256,256,10,0.001,0.0435,0.137,0.143744,1000,0,0,0,0,0
257,257,10,0.001,0.0435,0.1455,0.151867,1000,0,0,0,0,0
258,258,10,0.001,0.0435,0.154,0.160029,1000,0,0,0,0,0
259,259,10,0.001,0.0435,0.1625,0.168225,1000,0,0,0,0,0
260,260,10,0.001,0.0435,0.171,0.176449,1000,0,0,0,0,0
261,261,10,0.001,0.0435,0.1795,0.184698,1000,0,0,0,0,0
262,262,10,0.001,0.0435,0.188,0.19297,1000,0,0,0,0,0
263,263,10,0.001,0.0435,0.1965,0.20126,1000,0,0,0,0,0
264,264,10,0.001,0.0435,0.205,0.209567,1000,0,0,0,0,0
265,265,10,0.001,0.0435,0.2135,0.217889,1000,0,0,0,0,0
266,266,10,0.001,0.0435,0.222,0.226224,1000,0,0,0,0,0
267,267,10,0.001,0.0435,0.2305,0.234571,1000,0,0,0,0,0
268,268,10,0.001,0.0435,0.239,0.242928,1000,0,0,0,0,0
269,269,10,0.001,0.0435,0.2475,0.251296,1000,0,0,0,0,0
270,270,10,0.001,0.0435,0.256,0.259671,1000,0,0,0,0,0
271,271,10,0.001,0.0435,0.2645,0.268055,1000,0,0,0,0,0
272,272,10,0.001,0.0435,0.273,0.276446,1000,0,0,0,0,0
273,273,10,0.001,0.0435,0.2815,0.284843,1000,0,0,0,0,0
274,274,10,0.001,0.0435,0.29,0.293246,1000,0,0,0,0,0
275,275,10,0.001,0.0435,0.2985,0.301655,1000,0,0,0,0,0
276,276,10,0.001,0.0435,0.307,0.310068,1000,0,0,0,0,0
277,277,10,0.001,0.0435,0.3155,0.318486,1000,0,0,0,0,0
278,278,10,0.001,0.0435,0.324,0.326909,1000,0,0,0,0,0
279,279,10,0.001,0.0435,0.3325,0.335335,1000,0,0,0,0,0
280,280,10,0.001,0.0435,0.341,0.343765,1000,0,0,0,0,0
281,281,10,0.001,0.0435,0.3495,0.352198,1000,0,0,0,0,0
282,282,10,0.001,0.0435,0.358,0.360635,1000,0,0,0,0,0
283,283,10,0.001,0.0435,0.3665,0.369074,1000,0,0,0,0,0
284,284,10,0.001,0.0435,0.375,0.377516,1000,0,0,0,0,0
285,285,10,0.001,0.0435,0.3835,0.38596,1000,0,0,0,0,0
286,286,10,0.001,0.0435,0.392,0.394407,1000,0,0,0,0,0
287,287,10,0.001,0.0435,0.4005,0.402857,1000,0,0,0,0,0
288,288,10,0.001,0.052,0.001,0.0520192,1000,0,0,0,0,0
289,289,10,0.001,0.052,0.0095,0.0528701,1000,0,0,0,0,0
290,290,10,0.001,0.052,0.018,0.0550364,1000,0,0,0,0,0
291,291,10,0.001,0.052,0.0265,0.0583717,1000,0,0,0,0,0
292,292,10,0.001,0.052,0.035,0.0626897,1000,0,0,0,0,0
293,293,10,0.001,0.052,0.0435,0.067803,1000,0,0,0,0,0
294,294,10,0.001,0.052,0.052,0.0735459,1000,0,0,0,0,0
295,295,10,0.001,0.052,0.0605,0.0797825,1000,0,0,0,0,0
296,296,10,0.001,0.052,0.069,0.086406,1000,0,0,0,0,0
297,297,10,0.001,0.052,0.0775,0.0933341,1000,0,0,0,0,0
298,298,10,0.001,0.052,0.086,0.100504,1000,0,0,0,0,0
299,299,10,0.001,0.052,0.0945,0.107867,1000,0,0,0,0,0
300,300,10,0.001,0.052,0.103,0.115386,1000,0,0,0,0,0
301,301,10,0.001,0.052,0.1115,0.123034,1000,0,0,0,0,0
302,302,10,0.001,0.052,0.12,0.130786,1000,0,0,0,0,0
303,303,10,0.001,0.052,0.1285,0.138626,1000,0,0,0,0,0
304,304,10,0.001,0.052,0.137,0.14654,1000,0,0,0,0,0
305,305,10,0.001,0.052,0.1455,0.154516,1000,0,0,0,0,0
306,306,10,0.001,0.052,0.154,0.162545,1000,0,0,0,0,0
307,307,10,0.001,0.052,0.1625,0.17062,1000,0,0,0,0,0
