"Idp","Vel:0","Vel:1","Vel:2","Rhop","Points:0","Points:1","Points:2"
792,0,0,0,1000.3,0.18,0,0.42
793,0,0,0,1000.2,0.18,0,0.44
794,0,0,0,1000.1,0.18,0,0.46
795,0,0,0,1000,0.18,0,0.48
796,0,0,0,1002.5,0.2,0,0.02
797,0,0,0,1002.4,0.2,0,0.04
798,0,0,0,1002.3,0.2,0,0.06
799,0,0,0,1002.2,0.2,0,0.08
800,0,0,0,1002.1,0.2,0,0.1
801,0,0,0,1001.9,0.2,0,0.12
802,0,0,0,1001.8,0.2,0,0.14
803,0,0,0,1001.7,0.2,0,0.16
804,0,0,0,1001.6,0.2,0,0.18
805,0,0,0,1001.5,0.2,0,0.2
806,0,0,0,1001.4,0.2,0,0.22
807,0,0,0,1001.3,0.2,0,0.24
808,0,0,0,1001.2,0.2,0,0.26
809,0,0,0,1001.1,0.2,0,0.28
810,0,0,0,1001,0.2,0,0.3
811,0,0,0,1000.9,0.2,0,0.32
812,0,0,0,1000.8,0.2,0,0.34
813,0,0,0,1000.7,0.2,0,0.36
814,0,0,0,1000.5,0.2,0,0.38
815,0,0,0,1000.4,0.2,0,0.4
816,0,0,0,1000.3,0.2,0,0.42
817,0,0,0,1000.2,0.2,0,0.44
818,0,0,0,1000.1,0.2,0,0.46
819,0,0,0,1000,0.2,0,0.48
820,0,0,0,1002.5,0.22,0,0.02
821,0,0,0,1002.4,0.22,0,0.04
822,0,0,0,1002.3,0.22,0,0.06
823,0,0,0,1002.2,0.22,0,0.08
824,0,0,0,1002.1,0.22,0,0.1
825,0,0,0,1001.9,0.22,0,0.12
826,0,0,0,1001.8,0.22,0,0.14
827,0,0,0,1001.7,0.22,0,0.16
828,0,0,0,1001.6,0.22,0,0.18
829,0,0,0,1001.5,0.22,0,0.2
830,0,0,0,1001.4,0.22,0,0.22
831,0,0,0,1001.3,0.22,0,0.24
832,0,0,0,1001.2,0.22,0,0.26
833,0,0,0,1001.1,0.22,0,0.28
834,0,0,0,1001,0.22,0,0.3
835,0,0,0,1000.9,0.22,0,0.32
836,0,0,0,1000.8,0.22,0,0.34
837,0,0,0,1000.7,0.22,0,0.36
838,0,0,0,1000.5,0.22,0,0.38
839,0,0,0,1000.4,0.22,0,0.4
840,0,0,0,1000.3,0.22,0,0.42
841,0,0,0,1000.2,0.22,0,0.44
842,0,0,0,1000.1,0.22,0,0.46
843,0,0,0,1000,0.22,0,0.48
844,0,0,0,1002.5,0.24,0,0.02
845,0,0,0,1002.4,0.24,0,0.04
846,0,0,0,1002.3,0.24,0,0.06
847,0,0,0,1002.2,0.24,0,0.08
848,0,0,0,1002.1,0.24,0,0.1
849,0,0,0,1001.9,0.24,0,0.12
850,0,0,0,1001.8,0.24,0,0.14
851,0,0,0,1001.7,0.24,0,0.16
852,0,0,0,1001.6,0.24,0,0.18
853,0,0,0,1001.5,0.24,0,0.2
854,0,0,0,1001.4,0.24,0,0.22
855,0,0,0,1001.3,0.24,0,0.24
856,0,0,0,1001.2,0.24,0,0.26
857,0,0,0,1001.1,0.24,0,0.28
858,0,0,0,1001,0.24,0,0.3
859,0,0,0,1000.9,0.24,0,0.32
860,0,0,0,1000.8,0.24,0,0.34
861,0,0,0,1000.7,0.24,0,0.36
862,0,0,0,1000.5,0.24,0,0.38
863,0,0,0,1000.4,0.24,0,0.4
864,0,0,0,1000.3,0.24,0,0.42
865,0,0,0,1000.2,0.24,0,0.44
866,0,0,0,1000.1,0.24,0,0.46
867,0,0,0,1000,0.24,0,0.48
868,0,0,0,1002.5,0.26,0,0.02
869,0,0,0,1002.4,0.26,0,0.04
870,0,0,0,1002.3,0.26,0,0.06
871,0,0,0,1002.2,0.26,0,0.08
872,0,0,0,1002.1,0.26,0,0.1
873,0,0,0,1001.9,0.26,0,0.12
874,0,0,0,1001.8,0.26,0,0.14
875,0,0,0,1001.7,0.26,0,0.16
876,0,0,0,1001.6,0.26,0,0.18
877,0,0,0,1001.5,0.26,0,0.2
878,0,0,0,1001.4,0.26,0,0.22
879,0,0,0,1001.3,0.26,0,0.24
880,0,0,0,1001.2,0.26,0,0.26
