"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
1227,0.0,0.0,0.0,1000.7754260871122,3,1,-0.33,0.0,0.03
1228,0.0,0.0,0.0,1000.652583089734,3,1,-0.33,0.0,0.04
1229,0.0,0.0,0.0,1000.529649542288,3,1,-0.33,0.0,0.05
1230,0.0,0.0,0.0,1000.4066253000327,3,1,-0.33,0.0,0.06
1231,0.0,0.0,0.0,1000.2835102178705,3,1,-0.33,0.0,0.07
1232,0.0,0.0,0.0,1000.1603041503462,3,1,-0.33,0.0,0.08
1233,0.0,0.0,0.0,1000.0370069516459,3,1,-0.33,0.0,0.09
1234,0.0,0.0,0.0,1001.0208410088566,3,1,-0.32,0.0,0.01
1235,0.0,0.0,0.0,1000.8981786788087,3,1,-0.32,0.0,0.02
1236,0.0,0.0,0.0,1000.7754260871122,3,1,-0.32,0.0,0.03
1237,0.0,0.0,0.0,1000.652583089734,3,1,-0.32,0.0,0.04
1238,0.0,0.0,0.0,1000.529649542288,3,1,-0.32,0.0,0.05
1239,0.0,0.0,0.0,1000.4066253000327,3,1,-0.32,0.0,0.06
1240,0.0,0.0,0.0,1000.2835102178705,3,1,-0.32,0.0,0.07
1241,0.0,0.0,0.0,1000.1603041503462,3,1,-0.32,0.0,0.08
1242,0.0,0.0,0.0,1000.0370069516459,3,1,-0.32,0.0,0.09
1243,0.0,0.0,0.0,1001.0208410088566,3,1,-0.31,0.0,0.01
1244,0.0,0.0,0.0,1000.8981786788087,3,1,-0.31,0.0,0.02
1245,0.0,0.0,0.0,1000.7754260871122,3,1,-0.31,0.0,0.03
1246,0.0,0.0,0.0,1000.652583089734,3,1,-0.31,0.0,0.04
1247,0.0,0.0,0.0,1000.529649542288,3,1,-0.31,0.0,0.05
1248,0.0,0.0,0.0,1000.4066253000327,3,1,-0.31,0.0,0.06
1249,0.0,0.0,0.0,1000.2835102178705,3,1,-0.31,0.0,0.07
1250,0.0,0.0,0.0,1000.1603041503462,3,1,-0.31,0.0,0.08
1251,0.0,0.0,0.0,1000.0370069516459,3,1,-0.31,0.0,0.09
1252,0.0,0.0,0.0,1001.0208410088566,3,1,-0.3,0.0,0.01
1253,0.0,0.0,0.0,1000.8981786788087,3,1,-0.3,0.0,0.02
1254,0.0,0.0,0.0,1000.7754260871122,3,1,-0.3,0.0,0.03
1255,0.0,0.0,0.0,1000.652583089734,3,1,-0.3,0.0,0.04
1256,0.0,0.0,0.0,1000.529649542288,3,1,-0.3,0.0,0.05
1257,0.0,0.0,0.0,1000.4066253000327,3,1,-0.3,0.0,0.06
1258,0.0,0.0,0.0,1000.2835102178705,3,1,-0.3,0.0,0.07
1259,0.0,0.0,0.0,1000.1603041503462,3,1,-0.3,0.0,0.08
1260,0.0,0.0,0.0,1000.0370069516459,3,1,-0.3,0.0,0.09
1261,0.0,0.0,0.0,1001.0208410088566,3,1,-0.29,0.0,0.01
1262,0.0,0.0,0.0,1000.8981786788087,3,1,-0.29,0.0,0.02
1263,0.0,0.0,0.0,1000.7754260871122,3,1,-0.29,0.0,0.03
1264,0.0,0.0,0.0,1000.652583089734,3,1,-0.29,0.0,0.04
1265,0.0,0.0,0.0,1000.529649542288,3,1,-0.29,0.0,0.05
1266,0.0,0.0,0.0,1000.4066253000327,3,1,-0.29,0.0,0.06
1267,0.0,0.0,0.0,1000.2835102178705,3,1,-0.29,0.0,0.07
1268,0.0,0.0,0.0,1000.1603041503462,3,1,-0.29,0.0,0.08
1269,0.0,0.0,0.0,1000.0370069516459,3,1,-0.29,0.0,0.09
1270,0.0,0.0,0.0,1001.0208410088566,3,1,-0.28,0.0,0.01
1271,0.0,0.0,0.0,1000.8981786788087,3,1,-0.28,0.0,0.02
1272,0.0,0.0,0.0,1000.7754260871122,3,1,-0.28,0.0,0.03
1273,0.0,0.0,0.0,1000.652583089734,3,1,-0.28,0.0,0.04
1274,0.0,0.0,0.0,1000.529649542288,3,1,-0.28,0.0,0.05
1275,0.0,0.0,0.0,1000.4066253000327,3,1,-0.28,0.0,0.06
1276,0.0,0.0,0.0,1000.2835102178705,3,1,-0.28,0.0,0.07
1277,0.0,0.0,0.0,1000.1603041503462,3,1,-0.28,0.0,0.08
1278,0.0,0.0,0.0,1000.0370069516459,3,1,-0.28,0.0,0.09
1279,0.0,0.0,0.0,1001.0208410088566,3,1,-0.27,0.0,0.01
1280,0.0,0.0,0.0,1000.8981786788087,3,1,-0.27,0.0,0.02
1281,0.0,0.0,0.0,1000.7754260871122,3,1,-0.27,0.0,0.03
1282,0.0,0.0,0.0,1000.652583089734,3,1,-0.27,0.0,0.04
1283,0.0,0.0,0.0,1000.529649542288,3,1,-0.27,0.0,0.05
