"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
117,10,0.0,0.0,0.03,0.03,-0.27999999999999997,0.0,-0.019999999999999997
118,10,0.0,0.0,0.03,0.03,-0.27,0.0,-0.019999999999999997
119,10,0.0,0.0,0.03,0.03,-0.26,0.0,-0.019999999999999997
120,10,0.0,0.0,0.03,0.03,-0.24999999999999997,0.0,-0.019999999999999997
121,10,0.0,0.0,0.03,0.03,-0.24,0.0,-0.019999999999999997
122,10,0.0,0.0,0.03,0.03,-0.22999999999999998,0.0,-0.019999999999999997
123,10,0.0,0.0,0.03,0.03,-0.21999999999999997,0.0,-0.019999999999999997
124,10,0.0,0.0,0.03,0.03,-0.20999999999999996,0.0,-0.019999999999999997
125,10,0.0,0.0,0.03,0.03,-0.19999999999999996,0.0,-0.019999999999999997
126,10,0.0,0.0,0.03,0.03,-0.19,0.0,-0.019999999999999997
127,10,0.0,0.0,0.03,0.03,-0.18,0.0,-0.019999999999999997
128,10,0.0,0.0,0.03,0.03,-0.16999999999999998,0.0,-0.019999999999999997
129,10,0.0,0.0,0.03,0.03,-0.15999999999999998,0.0,-0.019999999999999997
130,10,0.0,0.0,0.03,0.03,-0.14999999999999997,0.0,-0.019999999999999997
131,10,0.0,0.0,0.03,0.03,-0.13999999999999996,0.0,-0.019999999999999997
132,10,0.0,0.0,0.03,0.03,-0.12999999999999995,0.0,-0.019999999999999997
133,10,0.0,0.0,0.03,0.03,-0.12,0.0,-0.019999999999999997
134,10,0.0,0.0,0.03,0.03,-0.10999999999999999,0.0,-0.019999999999999997
135,10,0.0,0.0,0.03,0.03,-0.09999999999999998,0.0,-0.019999999999999997
136,10,0.0,0.0,0.03,0.03,-0.08999999999999997,0.0,-0.019999999999999997
137,10,0.0,0.0,0.03,0.03,-0.07999999999999996,0.0,-0.019999999999999997
138,10,0.0,0.0,0.03,0.03,-0.06999999999999995,0.0,-0.019999999999999997
139,10,0.0,0.0,0.03,0.03,-0.06,0.0,-0.019999999999999997
140,10,0.0,0.0,0.03,0.03,-0.04999999999999999,0.0,-0.019999999999999997
141,10,0.0,0.0,0.03,0.03,-0.03999999999999998,0.0,-0.019999999999999997
142,10,0.0,0.0,0.03,0.03,-0.02999999999999997,0.0,-0.019999999999999997
143,10,0.0,0.0,0.03,0.03,-0.019999999999999962,0.0,-0.019999999999999997
144,10,0.0,0.0,0.03,0.03,-0.009999999999999953,0.0,-0.019999999999999997
145,10,0.0,0.0,0.03,0.03,0.0,0.0,-0.019999999999999997
146,10,0.0,0.0,0.03,0.03,0.010000000000000009,0.0,-0.019999999999999997
147,10,0.0,0.0,0.03,0.03,0.020000000000000018,0.0,-0.019999999999999997
148,10,0.0,0.0,0.03,0.03,0.030000000000000027,0.0,-0.019999999999999997
149,10,0.0,0.0,0.03,0.03,0.040000000000000036,0.0,-0.019999999999999997
150,10,0.0,0.0,0.03,0.03,0.050000000000000044,0.0,-0.019999999999999997
151,10,0.0,0.0,0.03,0.03,0.06000000000000005,0.0,-0.019999999999999997
152,10,0.0,0.0,0.03,0.03,0.07000000000000006,0.0,-0.019999999999999997
153,10,0.0,0.0,0.03,0.03,0.08000000000000007,0.0,-0.019999999999999997
154,10,0.0,0.0,0.03,0.03,0.09000000000000008,0.0,-0.019999999999999997
155,10,0.0,0.0,0.03,0.03,0.09999999999999998,0.0,-0.019999999999999997
156,10,0.0,0.0,0.03,0.03,0.10999999999999999,0.0,-0.019999999999999997
157,10,0.0,0.0,0.03,0.03,0.12,0.0,-0.019999999999999997
158,10,0.0,0.0,0.03,0.03,0.13,0.0,-0.019999999999999997
159,10,0.0,0.0,0.03,0.03,0.14,0.0,-0.019999999999999997
160,10,0.0,0.0,0.03,0.03,0.15000000000000002,0.0,-0.019999999999999997
161,10,0.0,0.0,0.03,0.03,0.16000000000000003,0.0,-0.019999999999999997
162,10,0.0,0.0,0.03,0.03,0.17000000000000004,0.0,-0.019999999999999997
163,10,0.0,0.0,0.03,0.03,0.18000000000000005,0.0,-0.019999999999999997
164,10,0.0,0.0,0.03,0.03,0.19000000000000006,0.0,-0.019999999999999997
165,10,0.0,0.0,0.03,0.03,0.20000000000000007,0.0,-0.019999999999999997
166,10,0.0,0.0,0.03,0.03,0.21000000000000008,0.0,-0.019999999999999997
167,10,0.0,0.0,0.03,0.03,0.22000000000000008,0.0,-0.019999999999999997
168,10,0.0,0.0,0.03,0.03,0.22999999999999998,0.0,-0.019999999999999997
169,10,0.0,0.0,0.03,0.03,0.24,0.0,-0.019999999999999997
170,10,0.0,0.0,0.03,0.03,0.25,0.0,-0.019999999999999997
171,10,0.0,0.0,0.03,0.03,0.26,0.0,-0.019999999999999997
172,10,0.0,0.0,0.03,0.03,0.27,0.0,-0.019999999999999997
173,10,0.0,0.0,0.03,0.03,0.28,0.0,-0.019999999999999997
174,10,0.0,0.0,0.03,0.03,0.29000000000000004,0.0,-0.019999999999999997
175,10,0.0,0.0,0.03,0.03,0.30000000000000004,0.0,-0.019999999999999997
176,10,0.0,0.0,0.03,0.03,0.31000000000000005,0.0,-0.019999999999999997
177,10,0.0,0.0,0.03,0.03,0.32000000000000006,0.0,-0.019999999999999997
178,10,0.0,0.0,0.03,0.03,0.33000000000000007,0.0,-0.019999999999999997
179,10,0.0,0.0,0.03,0.03,0.3400000000000001,0.0,-0.019999999999999997
180,10,0.0,0.0,0.03,0.03,0.3500000000000001,0.0,-0.019999999999999997
181,10,0.0,0.0,0.03,0.03,0.36,0.0,-0.019999999999999997
182,10,0.0,0.0,0.03,0.03,0.37,0.0,-0.019999999999999997
183,10,0.0,0.0,0.03,0.03,0.38,0.0,-0.019999999999999997
184,10,0.0,0.0,0.03,0.03,0.39,0.0,-0.019999999999999997
185,10,0.0,0.0,0.03,0.03,0.4,0.0,-0.019999999999999997
186,10,0.0,0.0,0.03,0.03,0.41000000000000003,0.0,-0.019999999999999997
187,10,0.0,0.0,0.03,0.03,0.42000000000000004,0.0,-0.019999999999999997
188,10,0.0,0.0,0.03,0.03,0.43000000000000005,0.0,-0.019999999999999997
189,10,-5.551115123125783e-17,0.0,0.03,0.03,0.44000000000000006,0.0,-0.019999999999999997
190,10,-0.010000000000000064,0.0,0.03,0.03162277660168381,0.45000000000000007,0.0,-0.019999999999999997
191,10,-0.020000000000000073,0.0,0.03,0.03605551275463993,0.4600000000000001,0.0,-0.019999999999999997
192,10,-0.030000000000000082,0.0,0.03,0.04242640687119291,0.4700000000000001,0.0,-0.019999999999999997
193,10,-0.03999999999999998,0.0,0.03,0.04999999999999998,0.48,0.0,-0.019999999999999997
194,10,0.03999999999999998,0.0,0.019999999999999997,0.04472135954999577,-0.48,0.0,-0.009999999999999998
195,10,0.02999999999999997,0.0,0.019999999999999997,0.03605551275463987,-0.47,0.0,-0.009999999999999998
196,10,0.019999999999999962,0.0,0.019999999999999997,0.028284271247461874,-0.45999999999999996,0.0,-0.009999999999999998
197,10,0.009999999999999953,0.0,0.019999999999999997,0.022360679774997873,-0.44999999999999996,0.0,-0.009999999999999998
198,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.44,0.0,-0.009999999999999998
199,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.43,0.0,-0.009999999999999998
200,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.42,0.0,-0.009999999999999998
201,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.41,0.0,-0.009999999999999998
202,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.39999999999999997,0.0,-0.009999999999999998
203,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.39,0.0,-0.009999999999999998
204,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.38,0.0,-0.009999999999999998
205,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.37,0.0,-0.009999999999999998
206,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.36,0.0,-0.009999999999999998
207,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.35,0.0,-0.009999999999999998
208,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.33999999999999997,0.0,-0.009999999999999998
209,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.32999999999999996,0.0,-0.009999999999999998
210,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.31999999999999995,0.0,-0.009999999999999998
211,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.30999999999999994,0.0,-0.009999999999999998
212,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.3,0.0,-0.009999999999999998
213,10,0.0,0.0,0.019999999999999997,0.019999999999999997,-0.29,0.0,-0.009999999999999998
