"Point ID", "Idp", "Mk", "Normal:0","Normal:1","Normal:2", "Normal_Magnitude", "NormalSize","Points:0","Points:1","Points:2", "Points_Magnitude"
194,194,10,0,0,0.02,0.02,0.02,0.54,0,0,0.54
195,195,10,0,0,0.1,0.1,0.1,0.56,0,-0.04,0.561427
196,196,10,0,0,0.06,0.06,0.06,0.56,0,-0.02,0.560357
197,197,10,0,0,0.02,0.02,0.02,0.56,0,0,0.56
198,198,10,0,0,0.1,0.1,0.1,0.58,0,-0.04,0.581378
199,199,10,0,0,0.06,0.06,0.06,0.58,0,-0.02,0.580345
200,200,10,0,0,0.02,0.02,0.02,0.58,0,0,0.58
201,201,10,0,0,0.1,0.1,0.1,0.6,0,-0.04,0.601332
202,202,10,0,0,0.06,0.06,0.06,0.6,0,-0.02,0.600333
203,203,10,0,0,0.02,0.02,0.02,0.6,0,0,0.6
204,204,10,0,0,0.1,0.1,0.1,0.62,0,-0.04,0.621289
205,205,10,0,0,0.06,0.06,0.06,0.62,0,-0.02,0.620322
206,206,10,0,0,0.02,0.02,0.02,0.62,0,0,0.62
207,207,10,0,0,0.1,0.1,0.1,0.64,0,-0.04,0.641249
208,208,10,0,0,0.06,0.06,0.06,0.64,0,-0.02,0.640312
209,209,10,0,0,0.02,0.02,0.02,0.64,0,0,0.64
210,210,10,0,0,0.1,0.1,0.1,0.66,0,-0.04,0.661211
211,211,10,0,0,0.06,0.06,0.06,0.66,0,-0.02,0.660303
212,212,10,0,0,0.02,0.02,0.02,0.66,0,0,0.66
213,213,10,0,0,0.1,0.1,0.1,0.68,0,-0.04,0.681175
214,214,10,0,0,0.06,0.06,0.06,0.68,0,-0.02,0.680294
215,215,10,0,0,0.02,0.02,0.02,0.68,0,0,0.68
216,216,10,0,0,0.1,0.1,0.1,0.7,0,-0.04,0.701142
217,217,10,0,0,0.06,0.06,0.06,0.7,0,-0.02,0.700286
218,218,10,0,0,0.02,0.02,0.02,0.7,0,0,0.7
219,219,10,0,0,0.1,0.1,0.1,0.72,0,-0.04,0.72111
220,220,10,0,0,0.06,0.06,0.06,0.72,0,-0.02,0.720278
