"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
174,0,0,0,1000,0,0,0,0,0,0.08,0,0.88
23,0,0,0,1000,0,0,0,0,0,0,0,0.92
24,0,0,0,1000,0,0,0,0,0,0,0,0.96
25,0,0,0,1000,0,0,0,0,0,0,0,1
99,0,0,0,1000,0,0,0,0,0,0.04,0,0.92
100,0,0,0,1000,0,0,0,0,0,0.04,0,0.96
101,0,0,0,1000,0,0,0,0,0,0.04,0,1
175,0,0,0,1000,0,0,0,0,0,0.08,0,0.92
176,0,0,0,1000,0,0,0,0,0,0.08,0,0.96
177,0,0,0,1000,0,0,0,0,0,0.08,0,1
26,0,0,0,1000,0,0,0,0,0,0,0,1.04
27,0,0,0,1000,0,0,0,0,0,0,0,1.08
28,0,0,0,1000,0,0,0,0,0,0,0,1.12
102,0,0,0,1000,0,0,0,0,0,0.04,0,1.04
103,0,0,0,1000,0,0,0,0,0,0.04,0,1.08
104,0,0,0,1000,0,0,0,0,0,0.04,0,1.12
178,0,0,0,1000,0,0,0,0,0,0.08,0,1.04
179,0,0,0,1000,0,0,0,0,0,0.08,0,1.08
180,0,0,0,1000,0,0,0,0,0,0.08,0,1.12
29,0,0,0,1000,0,0,0,0,0,0,0,1.16
30,0,0,0,1000,0,0,0,0,0,0,0,1.2
31,0,0,0,1000,0,0,0,0,0,0,0,1.24
105,0,0,0,1000,0,0,0,0,0,0.04,0,1.16
106,0,0,0,1000,0,0,0,0,0,0.04,0,1.2
107,0,0,0,1000,0,0,0,0,0,0.04,0,1.24
181,0,0,0,1000,0,0,0,0,0,0.08,0,1.16
182,0,0,0,1000,0,0,0,0,0,0.08,0,1.2
183,0,0,0,1000,0,0,0,0,0,0.08,0,1.24
32,0,0,0,1000,0,0,0,0,0,0,0,1.28
33,0,0,0,1000,0,0,0,0,0,0,0,1.32
108,0,0,0,1000,0,0,0,0,0,0.04,0,1.28
109,0,0,0,1000,0,0,0,0,0,0.04,0,1.32
184,0,0,0,1000,0,0,0,0,0,0.08,0,1.28
185,0,0,0,1000,0,0,0,0,0,0.08,0,1.32
34,0,0,0,1000,0,0,0,0,0,0,0,1.36
35,0,0,0,1000,0,0,0,0,0,0,0,1.4
36,0,0,0,1000,0,0,0,0,0,0,0,1.44
110,0,0,0,1000,0,0,0,0,0,0.04,0,1.36
111,0,0,0,1000,0,0,0,0,0,0.04,0,1.4
112,0,0,0,1000,0,0,0,0,0,0.04,0,1.44
186,0,0,0,1000,0,0,0,0,0,0.08,0,1.36
187,0,0,0,1000,0,0,0,0,0,0.08,0,1.4
188,0,0,0,1000,0,0,0,0,0,0.08,0,1.44
37,0,0,0,1000,0,0,0,0,0,0,0,1.48
38,0,0,0,1000,0,0,0,0,0,0,0,1.52
39,0,0,0,1000,0,0,0,0,0,0,0,1.56
113,0,0,0,1000,0,0,0,0,0,0.04,0,1.48
114,0,0,0,1000,0,0,0,0,0,0.04,0,1.52
115,0,0,0,1000,0,0,0,0,0,0.04,0,1.56
189,0,0,0,1000,0,0,0,0,0,0.08,0,1.48
190,0,0,0,1000,0,0,0,0,0,0.08,0,1.52
191,0,0,0,1000,0,0,0,0,0,0.08,0,1.56
40,0,0,0,1000,0,0,0,0,0,0,0,1.6
41,0,0,0,1000,0,0,0,0,0,0,0,1.64
42,0,0,0,1000,0,0,0,0,0,0,0,1.68
116,0,0,0,1000,0,0,0,0,0,0.04,0,1.6
117,0,0,0,1000,0,0,0,0,0,0.04,0,1.64
118,0,0,0,1000,0,0,0,0,0,0.04,0,1.68
192,0,0,0,1000,0,0,0,0,0,0.08,0,1.6
193,0,0,0,1000,0,0,0,0,0,0.08,0,1.64
194,0,0,0,1000,0,0,0,0,0,0.08,0,1.68
43,0,0,0,1000,0,0,0,0,0,0,0,1.72
44,0,0,0,1000,0,0,0,0,0,0,0,1.76
45,0,0,0,1000,0,0,0,0,0,0,0,1.8
119,0,0,0,1000,0,0,0,0,0,0.04,0,1.72
120,0,0,0,1000,0,0,0,0,0,0.04,0,1.76
121,0,0,0,1000,0,0,0,0,0,0.04,0,1.8
195,0,0,0,1000,0,0,0,0,0,0.08,0,1.72
196,0,0,0,1000,0,0,0,0,0,0.08,0,1.76
197,0,0,0,1000,0,0,0,0,0,0.08,0,1.8
46,0,0,0,1000,0,0,0,0,0,0,0,1.84
47,0,0,0,1000,0,0,0,0,0,0,0,1.88
48,0,0,0,1000,0,0,0,0,0,0,0,1.92
122,0,0,0,1000,0,0,0,0,0,0.04,0,1.84
123,0,0,0,1000,0,0,0,0,0,0.04,0,1.88
124,0,0,0,1000,0,0,0,0,0,0.04,0,1.92
