"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Type","Points:0","Points:1","Points:2"
269,0,0,0,1000,0,0,1,0,0.12
270,0,0,0,1000,0,0,1,0,0.14
271,0,0,0,1000,0,0,1,0,0.16
272,0,0,0,1000,0,0,1.02,0,0.12
273,0,0,0,1000,0,0,1.02,0,0.14
274,0,0,0,1000,0,0,1.02,0,0.16
275,0,0,0,1000,0,0,1.02,0,0.18
276,0,0,0,1000,0,0,1.04,0,0.14
277,0,0,0,1000,0,0,1.04,0,0.16
278,0,0,0,1000,0,0,1.04,0,0.18
280,0,0,0,1000,0,0,1.06,0,0.16
281,0,0,0,1000,0,0,1.06,0,0.18
284,0,0,0,1000,0,0,1.08,0,0.18
292,0,0,0,1000,0,0,1.12,0,0.18
296,0,0,0,1000,0,0,1.14,0,0.16
297,0,0,0,1000,0,0,1.14,0,0.18
300,0,0,0,1000,0,0,1.16,0,0.14
301,0,0,0,1000,0,0,1.16,0,0.16
302,0,0,0,1000,0,0,1.16,0,0.18
304,0,0,0,1000,0,0,1.18,0,0.12
305,0,0,0,1000,0,0,1.18,0,0.14
306,0,0,0,1000,0,0,1.18,0,0.16
307,0,0,0,1000,0,0,1.18,0,0.18
309,0,0,0,1000,0,0,1.2,0,0.12
310,0,0,0,1000,0,0,1.2,0,0.14
311,0,0,0,1000,0,0,1.2,0,0.16
314,0,0,0,1000,0,0,1.22,0,0.12
315,0,0,0,1000,0,0,1.22,0,0.14
319,0,0,0,1000,0,0,1.24,0,0.12
474,0,0,0,1000,0,0,2.2,0,0.12
475,0,0,0,1000,0,0,2.2,0,0.14
476,0,0,0,1000,0,0,2.2,0,0.16
477,0,0,0,1000,0,0,2.2,0,0.18
512,0,0,0,1000,0,0,2.22,0,0.12
513,0,0,0,1000,0,0,2.22,0,0.14
514,0,0,0,1000,0,0,2.22,0,0.16
515,0,0,0,1000,0,0,2.22,0,0.18
550,0,0,0,1000,0,0,2.24,0,0.12
551,0,0,0,1000,0,0,2.24,0,0.14
552,0,0,0,1000,0,0,2.24,0,0.16
553,0,0,0,1000,0,0,2.24,0,0.18
12,0,0,0,1000,0,0,-0.04,0,0.2
13,0,0,0,1000,0,0,-0.04,0,0.22
14,0,0,0,1000,0,0,-0.04,0,0.24
15,0,0,0,1000,0,0,-0.04,0,0.26
50,0,0,0,1000,0,0,-0.02,0,0.2
51,0,0,0,1000,0,0,-0.02,0,0.22
52,0,0,0,1000,0,0,-0.02,0,0.24
53,0,0,0,1000,0,0,-0.02,0,0.26
88,0,0,0,1000,0,0,0,0,0.2
89,0,0,0,1000,0,0,0,0,0.22
90,0,0,0,1000,0,0,0,0,0.24
91,0,0,0,1000,0,0,0,0,0.26
279,0,0,0,1000,0,0,1.04,0,0.2
282,0,0,0,1000,0,0,1.06,0,0.2
283,0,0,0,1000,0,0,1.06,0,0.22
285,0,0,0,1000,0,0,1.08,0,0.2
286,0,0,0,1000,0,0,1.08,0,0.22
287,0,0,0,1000,0,0,1.08,0,0.24
288,0,0,0,1000,0,0,1.1,0,0.2
289,0,0,0,1000,0,0,1.1,0,0.22
290,0,0,0,1000,0,0,1.1,0,0.24
291,0,0,0,1000,0,0,1.1,0,0.26
293,0,0,0,1000,0,0,1.12,0,0.2
294,0,0,0,1000,0,0,1.12,0,0.22
295,0,0,0,1000,0,0,1.12,0,0.24
298,0,0,0,1000,0,0,1.14,0,0.2
299,0,0,0,1000,0,0,1.14,0,0.22
303,0,0,0,1000,0,0,1.16,0,0.2
478,0,0,0,1000,0,0,2.2,0,0.2
479,0,0,0,1000,0,0,2.2,0,0.22
480,0,0,0,1000,0,0,2.2,0,0.24
481,0,0,0,1000,0,0,2.2,0,0.26
516,0,0,0,1000,0,0,2.22,0,0.2
517,0,0,0,1000,0,0,2.22,0,0.22
518,0,0,0,1000,0,0,2.22,0,0.24
519,0,0,0,1000,0,0,2.22,0,0.26
554,0,0,0,1000,0,0,2.24,0,0.2
555,0,0,0,1000,0,0,2.24,0,0.22
556,0,0,0,1000,0,0,2.24,0,0.24
557,0,0,0,1000,0,0,2.24,0,0.26
16,0,0,0,1000,0,0,-0.04,0,0.28
17,0,0,0,1000,0,0,-0.04,0,0.3
18,0,0,0,1000,0,0,-0.04,0,0.32
19,0,0,0,1000,0,0,-0.04,0,0.34
54,0,0,0,1000,0,0,-0.02,0,0.28
55,0,0,0,1000,0,0,-0.02,0,0.3
56,0,0,0,1000,0,0,-0.02,0,0.32
57,0,0,0,1000,0,0,-0.02,0,0.34
92,0,0,0,1000,0,0,0,0,0.28
93,0,0,0,1000,0,0,0,0,0.3
94,0,0,0,1000,0,0,0,0,0.32
95,0,0,0,1000,0,0,0,0,0.34
482,0,0,0,1000,0,0,2.2,0,0.28
483,0,0,0,1000,0,0,2.2,0,0.3
484,0,0,0,1000,0,0,2.2,0,0.32
485,0,0,0,1000,0,0,2.2,0,0.34
520,0,0,0,1000,0,0,2.22,0,0.28
521,0,0,0,1000,0,0,2.22,0,0.3
522,0,0,0,1000,0,0,2.22,0,0.32
523,0,0,0,1000,0,0,2.22,0,0.34
558,0,0,0,1000,0,0,2.24,0,0.28
559,0,0,0,1000,0,0,2.24,0,0.3
560,0,0,0,1000,0,0,2.24,0,0.32
561,0,0,0,1000,0,0,2.24,0,0.34
20,0,0,0,1000,0,0,-0.04,0,0.36
21,0,0,0,1000,0,0,-0.04,0,0.38
22,0,0,0,1000,0,0,-0.04,0,0.4
23,0,0,0,1000,0,0,-0.04,0,0.42
58,0,0,0,1000,0,0,-0.02,0,0.36
59,0,0,0,1000,0,0,-0.02,0,0.38
