"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
1084,0,0,0,1002.1,15696,0,0,0,3,0.4,0,0.4
1085,0,0,0,1002.1,15303,0,0,0,3,0.4,0,0.44
1131,0,0,0,1002.2,16088,0,0,0,3,0.44,0,0.36
1132,0,0,0,1002.1,15696,0,0,0,3,0.44,0,0.4
1133,0,0,0,1002.1,15303,0,0,0,3,0.44,0,0.44
1179,0,0,0,1002.2,16088,0,0,0,3,0.48,0,0.36
1180,0,0,0,1002.1,15696,0,0,0,3,0.48,0,0.4
1181,0,0,0,1002.1,15303,0,0,0,3,0.48,0,0.44
1227,0,0,0,1002.2,16088,0,0,0,3,0.52,0,0.36
1228,0,0,0,1002.1,15696,0,0,0,3,0.52,0,0.4
1229,0,0,0,1002.1,15303,0,0,0,3,0.52,0,0.44
1275,0,0,0,1002.2,16088,0,0,0,3,0.56,0,0.36
1276,0,0,0,1002.1,15696,0,0,0,3,0.56,0,0.4
1277,0,0,0,1002.1,15303,0,0,0,3,0.56,0,0.44
1323,0,0,0,1002.2,16088,0,0,0,3,0.6,0,0.36
1324,0,0,0,1002.1,15696,0,0,0,3,0.6,0,0.4
1325,0,0,0,1002.1,15303,0,0,0,3,0.6,0,0.44
1371,0,0,0,1002.2,16088,0,0,0,3,0.64,0,0.36
1372,0,0,0,1002.1,15696,0,0,0,3,0.64,0,0.4
1373,0,0,0,1002.1,15303,0,0,0,3,0.64,0,0.44
1419,0,0,0,1002.2,16088,0,0,0,3,0.68,0,0.36
1420,0,0,0,1002.1,15696,0,0,0,3,0.68,0,0.4
1421,0,0,0,1002.1,15303,0,0,0,3,0.68,0,0.44
1467,0,0,0,1002.2,16088,0,0,0,3,0.72,0,0.36
1468,0,0,0,1002.1,15696,0,0,0,3,0.72,0,0.4
1469,0,0,0,1002.1,15303,0,0,0,3,0.72,0,0.44
1515,0,0,0,1002.2,16088,0,0,0,3,0.76,0,0.36
1516,0,0,0,1002.1,15696,0,0,0,3,0.76,0,0.4
1517,0,0,0,1002.1,15303,0,0,0,3,0.76,0,0.44
1563,0,0,0,1002.2,16088,0,0,0,3,0.8,0,0.36
1564,0,0,0,1002.1,15696,0,0,0,3,0.8,0,0.4
1565,0,0,0,1002.1,15303,0,0,0,3,0.8,0,0.44
1611,0,0,0,1002.2,16088,0,0,0,3,0.84,0,0.36
1612,0,0,0,1002.1,15696,0,0,0,3,0.84,0,0.4
1613,0,0,0,1002.1,15303,0,0,0,3,0.84,0,0.44
1659,0,0,0,1002.2,16088,0,0,0,3,0.88,0,0.36
1660,0,0,0,1002.1,15696,0,0,0,3,0.88,0,0.4
1661,0,0,0,1002.1,15303,0,0,0,3,0.88,0,0.44
1707,0,0,0,1002.2,16088,0,0,0,3,0.92,0,0.36
1708,0,0,0,1002.1,15696,0,0,0,3,0.92,0,0.4
1709,0,0,0,1002.1,15303,0,0,0,3,0.92,0,0.44
1755,0,0,0,1002.2,16088,0,0,0,3,0.96,0,0.36
1756,0,0,0,1002.1,15696,0,0,0,3,0.96,0,0.4
1757,0,0,0,1002.1,15303,0,0,0,3,0.96,0,0.44
