"Idp","Vel:0","Vel:1","Vel:2","Rhop","Mass","Press","Vol","Ace:0","Ace:1","Ace:2","Vor:0","Vor:1","Vor:2","Type","Mk","Points:0","Points:1","Points:2"
3941,0,0,0,1002.5,0.4,19031,0.00039901,0,0,-416.37,0,0,0,3,1,0.56,0,0.06
3942,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,0.56,0,0.08
3943,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17246,0,0,0,3,1,0.56,0,0.1
4039,0,0,0,1002.5,0.4,19031,0.00039901,0.0021674,0,-416.37,0,0,0,3,1,0.58,0,0.06
4040,0,0,0,1002.5,0.4,18835,0.00039902,0.0024128,0,-57.979,0,0,0,3,1,0.58,0,0.08
4041,0,0,0,1002.4,0.4,18639,0.00039903,0.0024106,0,-0.17247,0,0,0,3,1,0.58,0,0.1
4137,0,0,0,1002.5,0.4,19031,0.00039901,-0.0021674,0,-416.37,0,0,0,3,1,0.6,0,0.06
4138,0,0,0,1002.5,0.4,18835,0.00039902,-0.0024128,0,-57.979,0,0,0,3,1,0.6,0,0.08
4139,0,0,0,1002.4,0.4,18639,0.00039903,-0.0024106,0,-0.17247,0,0,0,3,1,0.6,0,0.1
4235,0,0,0,1002.5,0.4,19031,0.00039901,0,0,-416.37,0,0,0,3,1,0.62,0,0.06
4236,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,0.62,0,0.08
4237,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17246,0,0,0,3,1,0.62,0,0.1
4333,0,0,0,1002.5,0.4,19031,0.00039901,0.0021674,0,-416.37,0,0,0,3,1,0.64,0,0.06
4334,0,0,0,1002.5,0.4,18835,0.00039902,0.0024128,0,-57.979,0,0,0,3,1,0.64,0,0.08
4335,0,0,0,1002.4,0.4,18639,0.00039903,0.0024106,0,-0.17247,0,0,0,3,1,0.64,0,0.1
4431,0,0,0,1002.5,0.4,19031,0.00039901,-0.0021674,0,-416.37,0,0,0,3,1,0.66,0,0.06
4432,0,0,0,1002.5,0.4,18835,0.00039902,-0.0024128,0,-57.979,0,0,0,3,1,0.66,0,0.08
4433,0,0,0,1002.4,0.4,18639,0.00039903,-0.0024106,0,-0.17247,0,0,0,3,1,0.66,0,0.1
4529,0,0,0,1002.5,0.4,19031,0.00039901,0,0,-416.37,0,0,0,3,1,0.68,0,0.06
4530,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,0.68,0,0.08
4531,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17246,0,0,0,3,1,0.68,0,0.1
4627,0,0,0,1002.5,0.4,19031,0.00039901,0.0021674,0,-416.37,0,0,0,3,1,0.7,0,0.06
4628,0,0,0,1002.5,0.4,18835,0.00039902,0.0024128,0,-57.979,0,0,0,3,1,0.7,0,0.08
4629,0,0,0,1002.4,0.4,18639,0.00039903,0.0024106,0,-0.17247,0,0,0,3,1,0.7,0,0.1
4725,0,0,0,1002.5,0.4,19031,0.00039901,-0.0021674,0,-416.37,0,0,0,3,1,0.72,0,0.06
4726,0,0,0,1002.5,0.4,18835,0.00039902,-0.0024128,0,-57.979,0,0,0,3,1,0.72,0,0.08
4727,0,0,0,1002.4,0.4,18639,0.00039903,-0.0024106,0,-0.17247,0,0,0,3,1,0.72,0,0.1
4823,0,0,0,1002.5,0.4,19031,0.00039901,-0.0010517,0,-416.37,0,0,0,3,1,0.74,0,0.06
4824,0,0,0,1002.5,0.4,18835,0.00039902,-0.001186,0,-57.979,0,0,0,3,1,0.74,0,0.08
4825,0,0,0,1002.4,0.4,18639,0.00039903,-0.0011737,0,-0.17246,0,0,0,3,1,0.74,0,0.1
4921,0,0,0,1002.5,0.4,19031,0.00039901,0.0010517,0,-416.37,0,0,0,3,1,0.76,0,0.06
4922,0,0,0,1002.5,0.4,18835,0.00039902,0.001186,0,-57.979,0,0,0,3,1,0.76,0,0.08
4923,0,0,0,1002.4,0.4,18639,0.00039903,0.0011737,0,-0.17246,0,0,0,3,1,0.76,0,0.1
5019,0,0,0,1002.5,0.4,19031,0.00039901,0.0021674,0,-416.37,0,0,0,3,1,0.78,0,0.06
5020,0,0,0,1002.5,0.4,18835,0.00039902,0.0024128,0,-57.979,0,0,0,3,1,0.78,0,0.08
5021,0,0,0,1002.4,0.4,18639,0.00039903,0.0024106,0,-0.17247,0,0,0,3,1,0.78,0,0.1
5117,0,0,0,1002.5,0.4,19031,0.00039901,-0.0021674,0,-416.37,0,0,0,3,1,0.8,0,0.06
